명 칭,소 재 지,건물 연면적(㎡),소장 장서수(권),비고
가오터작은도서관,"대전광역시 동구 대전로 471, (가오동)",61.95,"1,700",사립
꿈샘마을작은도서관,"대전광역시 동구 대전로542번길 80-87, (천동)",58.8,"4,394",사립
꿈이영그는작은도서관,"대전광역시 동구 동서대로 1654, (성남동)",276.76,"3,366",사립
꿈터도서관,"대전광역시 동구 대전로542번길 78-1, (천동, 휴먼시아2단지아파트)",40.5,"6,328",사립
늘푸른도서관,"대전광역시 동구 안골로 49, (구도동)",45,"1,730",사립
달콤한책,"대전광역시 동구 용운로 80, (용운동, 용방마을아파트)",71,"8,456",사립
대주파크빌 작은도서관,"대전광역시 동구 충정로 136, (가양동, 대주파크빌)",49.9,"3,810",사립
동대전작은도서관,"대전광역시 동구 미래길 10, (소제동)",161.9,"7,078",사립
두란노작은도서관,"대전광역시 동구 대전천동로 592, (중동)",34,"4,330",사립
로뎀작은도서관,"대전광역시 동구 우암로 192, (가양동, 아침마을)",47.247,"2,659",사립
마음사랑작은도서관,"대전광역시 동구 계족로 496, (용전동)",67,"3,100",사립
쁘레네꿈꽃작은도서관,"대전광역시 동구 은어송로 42-25, (가오동)",47.27,"1,160",사립
산내아름인도서관,대전 동구 낭월동,51,"5,843",사립
새들뫼2단지 작은도서관,"대전광역시 동구 계족로 135, (대동, 새들뫼휴먼시아(2)단지)",45.24,"1,032",사립
샘골마을문고,대전 동구 대전로,45.57,"5,982",사립
성남작은도서관,"대전광역시 동구 성남로 38-5, (성남동)",344,"11,600",공립
쉐마도서관,"대전광역시 동구 대전로 449, (가오동)",105,"7,369",사립
스마트뷰아파트 작은도서관,"대전광역시 동구 성남로 15, (성남동, 스마트뷰)",43.745,"6,801",사립
신일문고,"대전광역시 동구 신기로101번길 5-8, (가오동)",92.4,"4,825",사립
아침마을작은도서관,"대전광역시 동구 우암로 192, (가양동, 아침마을)",107.39,"8,051",사립
온누리작은도서관,"대전광역시 동구 동부로 39, (판암동)",72.6,"1,800",사립
우리문고,"대전광역시 동구 대동로20번길 24-10, (대동)",66,"3,905",사립
위드힐작은도서관,"대전광역시 동구 대전로542번길 121, (천동, 위드힐)",165.32,"5,407",사립
창대문고,"대전광역시 동구 계족로 502-14, (용전동)",69,"7,473",사립
창성SF작은도서관,"대전광역시 동구 옥천로 134-21, (판암동)",46.36,"1,050",사립
큰빛문고,"대전광역시 동구 새울로 51, (용운동)",99,"3,142",사립
푸른꿈도서관,"대전광역시 동구 동서대로1770번길 71, (가양동)",114.2,"8,423",사립
푸른나무작은도서관,"대전광역시 동구 충정로139번길 28, (자양동)",70.8,"5,800",사립
함께하는 도서관,"대전광역시 동구 대전로813번길 34, (중동)",73.82,"3,000",사립
함께하는작은도서관,"대전광역시 동구 석천로 81-7, (낭월동)",41.59,"3,139",사립
행복한도서관,"대전광역시 동구 대전로 878, (삼성동)",264,"4,085",사립
호숫가마을어린이도서관,"대전광역시 동구 천개동로 33-6, (추동)",50,"4,036",사립
글마루도서관,"대전광역시 중구 목중로54번길 10, (중촌동, 주공아파트1단지)",115,"1,200",사립
금빛작은도서관,"대전광역시 중구 금동길 51-6, (금동)",43,"1,480",사립
금호새마을문고,"대전광역시 중구 대종로 713, (중촌동, 금호아파트)",40,"3,600",사립
깊은산속 옹달샘,"대전광역시 중구 남달미로 85, (목달동)",126.36,"2,200",사립
꾸러기 도서관,"대전광역시 중구 대둔산로 271, (사정동)",50,"2,755",사립
남대전푸른문고,"대전광역시 중구 학고개로57번길 81, (옥계동, 옥계아파트)",66,"6,900",사립
늘푸른도서관,"대전광역시 중구 대종로199번길 33, (호동)",123,"9,983",사립
대명작은도서관,"대전광역시 중구 보문산로 131, (산성동)",73,"4,695",사립
대전다문화아동센터도서관,"대전광역시 중구 대전천서로 467-1, (은행동)",165,"6,800",사립
대전문화별찌작은도서관,"대전광역시 중구 오류로 26, (오류동)",71.59,"4,600",사립
대전영어도서관,"대전광역시 중구 동서대로 1455, (중촌동)",86.32,"1,360",사립
대전은포작은도서관,"대전광역시 중구 유천로132번길 75, (태평동)",101,"1,200",사립
대전점자도서관,"대전광역시 중구 서문로 10, (문화동)",515,"6,731",사립
